project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
ecovaci_winfoom,4.04,2.95,1349,1397,2951,3087,716,754
birdiecare_connect-smts,86.97,80.74,60,226,75,588,10,77
marhali_json5-java,73.75,61.7,234,549,218,974,60,231
hhimanshu_spring-boot-liquibase,54.95,0.0,8,17,16,31,8,17
hamitmizrak_patika_springboot_docker,0.0,0.0,95,95,55,55,56,56
yoandypv_todo-api,9.75,0.0,108,118,52,74,51,61
jonashackt_spring-boot-buildpack,88.1,0.0,1,8,2,13,1,8
hamitmizrak_allspringblogproject,11.4,0.0,190,215,153,194,113,138
online-job-portal-cg_backend,0.0,0.0,582,582,1237,1237,512,512
juliengalet_reactor-flow,99.47,96.88,12,386,7,800,7,305
souris-dev_samosac-jvm,59.51,39.4,1446,2264,2132,5054,675,1330
michellibrito_springboot-azure,7.06,0.0,16,20,38,42,16,20
gabrieldim_csv-export-spring-boot,8.0,0.0,14,17,37,42,13,16
iamprafful_rest-api-authentication-tutorial,16.51,0.0,36,46,110,138,29,39
gnu-gnu_spring-kafka-example,82.98,0.0,20,76,47,214,19,75
programmerzamannow_belajar-spring-dasar,50.47,11.29,110,246,39,224,55,184
ergunahmet_datajpayt,3.14,0.0,431,447,364,407,225,241
arothuis_antlr4-calculator,81.48,64.55,88,185,79,359,51,127
sayan-d99_spring-security-jwt-authentication,23.56,0.0,30,41,63,89,23,34
marcobehlerjetbrains_maven-tutorial,66.67,50.0,2,3,3,6,1,2
ashish2030_swagger_static_website,52.52,0.0,10,18,17,42,10,18
maciejwalkowiak_paseq-maven-plugin,86.8,78.0,14,62,20,120,4,37
zhao-rgb_daily-practice,0.28,0.0,2880,2898,7489,7515,1578,1596
zevolution_netflix-hexagonal-architecture,58.82,27.27,173,364,210,596,153,342
rameshmf_springboot-dto-tutorial,15.11,0.0,93,111,34,65,41,59
omaralhaj24_ondriver,3.12,0.84,251,261,551,572,133,142
rahul26021999_qrcode-javaspringboot,32.68,0.0,5,9,28,34,5,9
dr-mod_tidy-flappy-bird,0.0,0.0,387,387,1008,1008,247,247
dhatim_dropwizard-prometheus,14.2,15.38,90,105,246,300,48,58
strategyengine_fsedistributionservice,19.24,11.83,2666,3104,2367,2918,1083,1475
kanajin_aqua-docker,5.75,0.0,16486,17257,10793,12974,9214,9985
dkambale_multi-tenant-microservice,0.0,0.0,70,70,137,137,62,62
artmcoder_buysell,46.15,0.0,2,4,3,5,2,4
educostadev_spring-websocket-message-broker,37.0,0.0,32,54,57,99,26,48
daglii_graylog-spring,50.0,0.0,4,10,10,17,4,10
liquidpie_lenses-java,80.63,0.0,5,26,5,40,5,26
rtbhouse_kafka-workers,65.2,52.72,370,858,625,2008,166,509
spdx_spdx-to-osv,71.48,69.92,188,322,333,864,134,204
