id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool, Tests,Project Type,Execution Time (s),Artifacts,Improved
277,ZhuGYao_SNR,8,7,226,164,14,14,95,69,101,73,16,8,maven,false,open source,784,3dfad5e60c484446b926f1c9cd1583ba34603881,improvement
278,ghsger_XCloud-Server,9,8,225,153,14,12,104,66,95,67,12,8,maven,false,open source,1023,3ae95395cfdf3743ed1337c5adc3f3f77ba73d59,improvement
289,JinFengHua_project-interface,9,5,167,113,11,7,77,51,68,46,11,9,maven,false,open source,571,e619461b90d39744bf3dbfabaecc130028c5b6e7,improvement
292,ch1ny_MediaPlayer,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,39,7ce5da79237598a5d58410f9d867d180486e6837,no improvement
295,J0B10_SMA-Speedwire,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,45,5b6b523cdd472bf4624768b9f5c4ca32ff9140ff,no improvement
296,berndruecker_kafka-camunda-spring-simple,3,2,66,27,6,3,33,15,26,9,1,0,maven,false,open source,419,4bbc8cf202bdf34f80d3edb2968f0443228c39db,improvement
299,schauder_talk-beyond,5,2,85,50,7,4,41,26,32,18,5,2,maven,true,open source,517,d95ece4a850a08c5dd0e715a77374b4415ec805e,improvement
303,teteusAraujo_carros,5,4,136,31,9,8,61,10,58,12,8,1,maven,false,open source,274,2d7b3f91093318889a2c2165196f46b76dab5903,improvement
304,DrDREAM233_auto-get-fu-card,4,2,108,18,8,6,50,5,43,6,7,1,maven,true,open source,149,53242178e5f3ba6ad87e8dfda1c3b4c6a7efe13c,improvement
284,hf200012_oceanus.bi,24,24,552,552,26,26,198,198,252,252,76,76,maven,false,open source,3007,867590c7471a62c9707277a3f7c6c7102e642bec,no improvement
309,daliasheasha_MyWebApp,1,1,9,1,0,0,3,0,6,1,0,0,maven,false,open source,63,237301d2919d8d28c1de5f53649025aa7d35e8ec,improvement
312,sdgdsffdsfff_JavaMethodCallGraph,5,2,20,2,1,0,8,1,10,1,1,0,maven,false,open source,101,e27956aba732345c32f25c5a52f6770d48ac63dd,improvement
315,stawirej_financial-system,6,3,126,37,10,2,64,24,49,11,3,0,maven,false,open source,260,d02f291f3b289bf392c7c3f6e05fccefdc634669,improvement
316,NewbieOrange_SUSTech-SQL-Project2-Public,3,1,16,5,1,0,6,3,8,2,1,0,maven,true,open source,104,3065f4f6bcdff9ff4f811673f81aaa83502f4a5b,improvement
317,birdiecare_connect-smts,3,1,5,3,1,1,4,2,0,0,0,0,maven,true,open source,402,6322f07cf77ca583056aa9ab621288e6e60ff582,improvement
